id,address
172,"350002, Россия, Краснодарский край, г. Краснодар, ул.Северная, д.428, офис 3"
218,"350063, Россия, Краснодарский край, г. Краснодар, ул. Кубанская Набережная, д. 37/1"
226,"350051, Россия, Краснодарский край, г. Краснодар, ул. Дзержинского, 42"
261,"350062, Россия, Краснодарский край, г. Краснодар, Прикубанский округ, ул. им. Космонавта Гагарина, д. 75/4"
262,"350089, Россия, Краснодарский край, г. Краснодар, Западный округ, ул.Бульварное кольцо, дом 7, оф. №26-30, здания литер А."
263,"350005, Россия, Краснодарский край, г. Краснодар, ул. им. Байбакова Н.К., д. 6, 1 этаж, пом. 56-74"
289,"350901, Россия, Краснодарский край, г. Краснодар, ул. 1 Мая, 153"
291,"350051, Россия, Краснодарский край, г. Краснодар, ул. Шоссе  Нефтяников, 53"
348,"350063, Россия, Краснодарский край, г. Краснодар, ул. Кубанская Набережная, д. 37/10, оф. 149"
388,"350072, Россия, Краснодарский край, г. Краснодар, ул. 40-лет Победы, д. 33/5, кв. 59."
401,"350040, Россия, Краснодарский край, г. Краснодар, улица Ставропольская, дом 232, квартира 4"
456,"350063, Россия, Краснодарский край, г. Краснодар, ул. Седина, д. 4"
467,"350072, Россия, Краснодарский край, г. Краснодар, ул. им. Байбакова, дом 14, офис 1"
476,"350063, Россия, Краснодарский край, г. Краснодар, ул.Пушкина, д. 4, кв. 38"
566,"350901, Россия, Краснодарский край, г. Краснодар, Черкасская, д. 79, кв.11"
697,"350038, Россия, Краснодарский край, г. Краснодар, Центральный внутригородской округ, ул. Северная, д. 500"
818,"350063, Россия, Краснодарский край, г. Краснодар, ул. Постовая, д. 6"
820,"350018, Россия, Краснодарский край, г. Краснодар, Карасунский округ, ул. Камвольная, д. 10"
848,"350912, Россия, Краснодарский край, г. Краснодар, ул.Тюляева,4\1."
860,"350000, Краснодарский край, г. Краснодар, ул. Красноармейская, 58"
867,"350000, Россия, Краснодарский край, г. Краснодар, Прикубанский округ, с/т «Урожай», ул. Тенистая, д. 5"
884,"350087, Россия, Краснодарский край, г. Краснодар, пос. Российский, ул. 16-й Полевой участок, д. 11"
890,"350038, Россия, Краснодарский край, г. Краснодар, ул. Северная, д. 493, Литер А, этаж 1, № помещения - 10"
924,"350089, Россия, Краснодарский край, г. Краснодар, Западный округ, пр. Чекистов,  34, корпус 1"
931,"350004, Россия, Краснодарский край, г. Краснодар, ул. Передерия, д. 64, офис 504"
942,"350000, Россия, Краснодарский край, г. Краснодар, Центральный округ, ул. Хакурате, д. 12, кв. 96"
953,"350089, Россия, Краснодарский край, г. Краснодар, ул.70лет Октября, д. 16 кв.83"
959,"350055, Россия, Краснодарский край, г. Краснодар, п. Знаменский, Карасунский округ, 2-й пр. Знаменский, д. 25"
1035,"350001, Россия, Краснодарский край, г. Краснодар, Центральный внутригородской округ, ул. Ставропольская, д. 142"
1206,"350087, Россия, Краснодарский край, г. Краснодар, ул. 16 Полевой участок, д. 19 (общ)"
1209,"350089, Россия, Краснодарский край, г. Краснодар, проспект Чекистов,  34/1, офис 6"
1220,"350089, Россия, Краснодарский край, г. Краснодар, бульвар им. Клары Лучко, д. 12, офис 500"
1254,"350001, Россия, Краснодарский край, г. Краснодар, ул. Ставропольская, дом 80, кв. 45"
1284,"350052, Россия, Краснодарский край, г. Краснодар, ул. Кольцевая, д. 17, кв. 4"
1315,"350051, Россия, Краснодарский край, г. Краснодар, проезд им. Репина, д. 28, кв. 4"
1380,"350072, Россия, Краснодарский край, г. Краснодар, ул. Московская, д. 55Г"
1419,"350067, Россия, Краснодарский край, г. Краснодар, Прикубанский округ, ул. 9-я Тихая, д.23, кв. 74"
1427,"350089, Россия, Краснодарский край, г. Краснодар, пр. Чекистов, д. 26/3, помещение 1"
1472,"350038, Россия, Краснодарский край, г. Краснодар, Центральный округ, ул. Северная, д. 447, литер В, 3 этаж, часть помещения № 15"
1612,"350000, Россия, Краснодарский край, г. Краснодар, ул. Коммунаров, д. 150"
1635,"350912, Россия, Краснодарский край, г. Краснодар, Карасунский округ, ул. Фадеева, д. 429"
1654,"350072, Россия, Краснодарский край, г. Краснодар, ул. Зиповская, д. 10"
1662,"350000, Россия, Краснодарский край, г. Краснодар, ул. Пашковская/ Кирова, д. 31/101"
1837,"350061, Россия, Краснодарский край, г. Краснодар, ул. им. Дмитрия Благоева, д. 2"
1848,"350910, Краснодарский край, г. Краснодар, пгт. Пашковский,  ул. Кирова, 200"
1937,"352117, Россия, Краснодарский край, г. Краснодар, ул. Игнатова, дом 65, кв. 9"
1978,"350033, Россия, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, улица им. Академика Лукьяненко П.П., дом 97"
1989,"350072, Россия, Краснодарский край, г. Краснодар, Прикубанский  внутригородской округ, ул. Московская, 66."
2110,"350072, Россия, Краснодарский край, г. Краснодар, ул. Агрохимическая, д. 114, помещение № 7"
2157,"350072, Россия, Краснодарский край, г. Краснодар, ул. им. Рахманова С.В., д. 24, пом. 3"
2191,"350002, Россия, Краснодарский край, г. Краснодар, ул. Северная, д. 428, офис 3"
2258,"350004, Россия, Краснодарский край, г. Краснодар, ул. Минская, д. 122/9"
2262,"350047, Россия, Краснодарский край, г. Краснодар, ул. Красных Партизан, д. 18"
2331,"350061, Россия, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ул. Дмитрия Благоева, д. 16."
2344,"350089, Россия, Краснодарский край, г. Краснодар, ул. Проспект Чекистов д.22, кв.90."
2363,"350012, Россия, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Красных партизан, дом 105, нежилые помещения № 1-9, этаж: 1, литер: А"
2382,"350005, Россия, Краснодарский край, г. Краснодар, ул. имени Александра Покрышкина, д. 4/6, литер А, помещение № 45-50, 63-68."
2455,"350015, Россия, Краснодарский край, г. Краснодар, ул. Коммунаров, д. 186"
2511,"350089, Краснодарский край, г. Краснодар, Западный административный округ, пр. Чекистов, д. 42, кв. 208"
2557,"350000, Россия, Краснодарский край, г. Краснодар, ул. Гоголя/Рашпилевская, д. 56/1 // 61/1"
2625,"350000, Россия, Краснодарский край, г. Краснодар, ул.Красноармейская,100,офис 135."
2651,"350000, Россия, Краснодарский край, г. Краснодар, Прикубанский округ, ул. им. Тургенева, дом 145, квартира 4"
2655,"350908, Россия, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ст. Старокорсунская, ул. Ленина, д.82"
2682,"350080, Россия, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ул. Симферопольская, д.16"
2794,"350004, Россия, Краснодарский край, г. Краснодар, Западный внутригородской округ, ул. им. Тургенева/ул. им. Володи Головатого, д. 23/198"
2922,"350042, Россия, Краснодарский край, г. Краснодар, Центральный округ, ул. Садовая, д. 218"
2932,"350000, Россия, Краснодарский край, г. Краснодар, Западный округ, ул.Красная, д.155/2"
3048,"350072, Россия, Краснодарский край, г. Краснодар, улица им. 40-летия Победы, дом 144/4, корпус 1П/А, офис 3"
3056,"350020, Россия, Краснодарский край, г. Краснодар, ул. Шоссе Нефтянников, д. 37/3"
3060,"350087, Россия, Краснодарский край, г. Краснодар, ул. Пригородная, д. 24"
3182,"350001, Россия, Краснодарский край, г. Краснодар, ул. Вишняковой, 1/8"
3189,"350007, Краснодарский край, г. Краснодар, ул. Станкостроительная, 6"
3239,"350089, Россия, Краснодарский край, г. Краснодар, Проспект Чекистов, д. 35, помещение 63"
3303,"350020, Россия, Краснодарский край, г. Краснодар, ул. Морская, д. 20"
3750,"350037, Россия, Краснодарский край, г. Краснодар, х. Ленина, пер. Буковый, 26, кв. 6"
3884,"350063, Россия, Краснодарский край, г. Краснодар, ул.Кубанонабережная, д. 7"
3896,"350087, Россия, Краснодарский край, г. Краснодар, ул. Карельская, д. 51, корпус 14, кв. 39"
3936,"350063, Краснодарский край, г. Краснодар, ул. им. Митрофана Седина/Советская, д. 17/72, кв. 14"
3951,"350051, Россия, Краснодарский край, г. Краснодар, ул. Лузана, д.  8"
3965,"350072, Россия, Краснодарский край, г. Краснодар, Прикубанский округ, ул. Кореновская, д. 45, кв. 34"
3968,"350042, Россия, Краснодарский край, г. Краснодар, Центральный внутригородской округ, ул. 40 лет Победы, д. 14."
3984,"350000, Россия, Краснодарский край, г. Краснодар, Западный внутригородской округ, ул. Красная, д. 103/ Длинная, д.123."
4186,"350089, Россия, Краснодарский край, г. Краснодар, ул. 70 лет Октября, д. 17, оф. 10"
4264,"350020, Краснодарский край, г. Краснодар, ул. Одесская, 40"
4271,"353814, Россия, Краснодарский край, Красноармейский район, г. Краснодар, ул. Чекунова, д. 9"
4364,"350042, Россия, Краснодарский край, г. Краснодар, ул. Гражданская, 4."
4373,"350075, Россия, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ул.им.  Селезнева, д. 94"
4387,"350072, Россия, Краснодарский край, г. Краснодар, ул. Московская, д. 79/1."
4413,"350000, Россия, Краснодарский край, г. Краснодар, ул. Пашковская, д. 76, кв. 5"
4421,"350000, Россия, Краснодарский край, г. Краснодар, ул. Чапаева, д. 58"
4427,"350018, Россия, Краснодарский край, г. Краснодар, ул. Онежская, д. 5, корпус 1, кв. 59"
4433,"350075, Краснодарский край, г. Краснодар, ул. Стасова, 174/1."
4579,"350061, Россия, Краснодарский край, г. Краснодар, ул. Благоева, д. 17"
4612,"350038, Россия, Краснодарский край, г. Краснодар, ул.Филатова, д. 17"
4637,"350029, Россия, Краснодарский край, г. Краснодар, ул. Российская, д. 72, корп. 5, помещ. 77-91"
4736,"350072, Россия, Краснодарский край, г. Краснодар, ул. Московская, д. 40"
4756,"350001, Россия, Краснодарский край, г. Краснодар, ул. Вишняковой, д. 2"
4876,"350072, Россия, Краснодарский край, г. Краснодар, ул. Чайковского, д. 27"
5065,"350062, Россия, Краснодарский край, г. Краснодар, ул. Атарбекова, д. 37"
5098,"350000, Россия, Краснодарский край, г. Краснодар, Западный внутригородской округ, ул. Чапаева, д. 77, литер Я"
5135,"350000, Россия, Краснодарский край, г. Краснодар, ул. Ленина, дом 37"
5147,"350018, Россия, Краснодарский край, г. Краснодар, улица Сормовская,  дом 7  литер Г"
5192,"350049, Россия, Краснодарский край, г. Краснодар, ул. Красных Партизан, д. 463"
5239,"350063, Россия, Краснодарский край, г. Краснодар, Западный внутригородской округ, ул. Комсомольская/Рашпилевская, д. 44/16"
5559,"350910, Краснодарский край, г. Краснодар, пос. Пашковский, ул. Суворова, д. 61"
5584,"350051, Россия, Краснодарский край, г. Краснодар, проезд Репина, д. 24"
5661,"350000, Россия, Краснодарский край, г. Краснодар, ул. Воровского, д. 219, кв. 45"
5714,"350051, Россия, Краснодарский край, г. Краснодар, ул. Шоссе Нефтяников, 53"
5763,"350007, Россия, Краснодарский край, г. Краснодар, ул. Захарова, д. 25, офис 1."
5777,"350038, Россия, Краснодарский край, г. Краснодар, ул. Железнодорожная, д. 49"
5820,"350005, Россия, Краснодарский край, г. Краснодар, ул. Кореновская, д. 15/1."
5866,"350072, Россия, Краснодарский край, г. Краснодар, ул. Московская, д. 65, кв. 3,4"
5876,"350000, Россия, Краснодарский край, г. Краснодар, ул. Красная, дом 160, офис 408"
5898,"350087, Россия, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. им. Силантьева Ю.В., д. 76/1."
6159,"350000, Россия, Краснодарский край, г. Краснодар, ул. Гоголя, д. 124"
6306,"350075, Россия, Краснодарский край, г. Краснодар, проезд Карасунский, д. 15\2"
6320,"350089, Россия, Краснодарский край, г. Краснодар, ул. Бульвар Платановый, д. 4, офис 6"
6321,"350078, Россия, Краснодарский край, г. Краснодар, ул. им. Котлярова Н.С., д. № 17, кв. 4"
