id,address
2,"410086, Российская Федерация, Саратовская область, г. Саратов, ул. Буровая, 36"
34,"410012, Российская Федерация, Саратовская область, г. Саратов, ул.Советская, д. 23"
38,"410052, Российская Федерация, Саратовская область, г. Саратов, ул. Одесская, дом 3 Б"
46,"410012, Российская Федерация, Саратовская область, г. Саратов, ул. Московская, д. 157"
49,"410044, Российская Федерация, Саратовская область, г. Саратов, ул. Студеная, д. 6а"
50,"410012, Россия, Саратовская область, г. Саратов, ул. Университетсткая, д. 59"
56,"410007, Российская Федерация, Саратовская область, г. Саратов, ул. Днепропетровская, д. 4 ""а"""
237,"410600, Россия, Саратовская область, г. Саратов, ул. Сакко и Ванцетти, д. 42, офис 20"
241,"410005, Россия, Саратовская область, г. Саратов, ул. Хвалынская, д. 32"
351,"410052, Российская Федерация, Саратовская область, г. Саратов, ул. Мира, 8"
364,"410005, Российская Федерация, Саратовская область, г. Саратов, ул. им. Разина С.Т., д. 77"
508,"410007, Российская Федерация, Саратовская область, г. Саратов, 2-й проезд им. Блинова Ф.А., д. 4, литер А"
512,"410009, Российская Федерация, Саратовская область, г. Саратов, Проспект имени 50 Лет Октября, д. 34/56"
519,"410028, Россия, Саратовская область, г. Саратов, ул. Соборная, д. 14, литер А"
862,"410033, Российская Федерация, Саратовская область, г. Саратов, 1-й проезд Панфилова, б/н"
880,"410033, Российская Федерация, Саратовская область, г. Саратов, ул. 2-й проезд им. Панфилова И.В., № 2"
944,"410056, Россия, Саратовская область, г. Саратов, ул. Советская, д. 83/89, корп. 1, литер Д, пом. 1"
955,"410005, Российская Федерация, Саратовская область, г. Саратов, ул. Им. Зарубина В.С., 186 ""А"""
1046,"410009, Россия, Саратовская область, г. Саратов, ул. Алексеевская, д. 22/26, кв. 46"
1171,"410002, Россия, Саратовская область, г. Саратов, ул. Комсомольская, д. 28/30, пом. 4"
1178,"410005, Россия, Саратовская область, г. Саратов, ул. им. Разина С.Т., д. 77"
1189,"410035, Россия, Саратовская область, г. Саратов, ул. Тархова, д. 26"
1197,"410065, Саратовская область, Саратов, проспект 50 лет Октября, д.89 А"
1375,"410005, Россия, Саратовская область, г. Саратов, 1-й Соколовский тупик, д. 21"
